 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
917920 -175.1500  -21.2300   38.1000  44919 23
917530 -176.1990  -13.2380   24.1000  47493 34
917650 -170.7140  -14.3310    3.7000  47680 25
703080 -170.2230   57.1550    8.0000  49521 34
702000 -165.4400   64.5110    5.4000  49639 34
703160 -162.7320   55.2210   22.0000  49421 34
702190 -161.8290   60.7850   32.6000  49578 34
701330 -162.6070   66.8860    3.4000  49575 34
918430 -159.8060  -21.2030    5.8000  46968 23
912850 -155.0490   19.7190    8.8000  49635 34
911650 -159.3390   21.9800   31.9000  49538 34
703260 -156.6560   58.6830   20.0000  48396 34
702310 -155.6100   62.9570  101.0000  48984 34
700260 -156.7390   71.2870    8.1000  49096 34
703500 -152.4880   57.7510    5.0000  49429 34
702730 -150.0280   61.1690   38.0000  49662 34
919540 -149.5240  -23.3650    2.1000  47807 34
919380 -149.6070  -17.5540    1.5000  49130 34
919430 -145.0330  -14.4830    3.0000  37709 20
703430 -146.3330   59.4330   30.5000  44330 34
702610 -147.8760   64.8030  131.1000  49653 34
700637 -148.4800   70.1910   17.7000  48582 34
919580 -144.3330  -27.6170    2.0000  48607 34
919250 -139.0330   -9.8000   53.0000  48527 34
703610 -139.6710   59.5120   12.6000  49084 34
719650 -135.8680   63.6160  503.8000  48627 34
919480 -134.9670  -23.1330   89.0000  47964 34
711010 -131.8000   53.2500    6.0000  48829 34
703810 -134.5560   58.3540    5.9000  49624 34
719490 -133.3500   62.2330  717.0000  47970 34
714820 -127.4670   52.1830   31.0000  47226 34
719530 -128.8230   60.1160  687.3000  48993 34
710430 -126.7990   65.2810   72.2000  49082 34
723940 -120.4520   34.8940   74.2000  49527 34
724940 -122.3660   37.6200    3.2000  49653 34
725970 -122.8770   42.3750  400.3000  49647 34
726980 -122.6090   45.5960    6.7000  49669 34
710500 -124.1330   52.1000  910.0000  46791 34
719460 -121.2370   61.7600  169.2000  48800 34
722900 -117.1830   32.7340    4.6000  49543 34
724880 -119.7680   39.5080 1342.5000  49654 34
726810 -116.2410   43.5670  860.5000  49651 34
727850 -117.5280   47.6220  717.7000  49653 34
718810 -116.4650   53.5790  926.9000  48899 34
719350 -115.7830   60.8330  165.5000  48911 34
722780 -112.0040   33.4280  339.2000  49664 34
724755 -113.0970   37.7070 1703.8000  49580 34
725720 -111.9650   40.7710 1288.4000  49668 34
727730 -114.0940   46.9210  973.8000  49653 34
711550 -113.6000   53.3000  715.0000  49175 34
715850 -111.2170   56.6500  369.0000  48743 34
713620 -111.9170   60.0170  203.0000  48875 34
764593 -106.2660   23.1610   11.6000  46942 34
722700 -106.3770   31.8120 1202.1000  49664 34
723650 -106.6150   35.0420 1618.4000  49671 34
725690 -106.4740   42.8980 1621.1000  49593 34
726770 -108.5460   45.8070 1094.3000  49654 34
714460 -107.7330   50.2670  825.0000  49080 34
719220 -105.2620   55.1510  378.6000  49128 34
719250 -105.0500   69.1330   25.0000  48723 34
766540 -104.3170   19.0500    3.0000  40994 24
766133 -103.3110   20.5220 1528.9000  46922 34
722610 -100.9270   29.3780  305.7000  49035 34
722670 -101.8230   33.6660  993.2000  49665 34
724660 -104.6890   38.8090 1884.2000  49652 34
725620 -100.6690   41.1220  841.9000  49646 34
727640 -100.7580   46.7820  503.2000  49355 34
718550 -100.0500   51.1000  305.0000  48822 34
714900 -102.4170   65.0830  244.0000  36386 17
768056  -99.7540   16.7570    4.0000  46555 30
722530  -98.4840   29.5440  243.6000  49667 34
722590  -97.0220   32.8970  165.7000  49671 34
724500  -97.4300   37.6480  401.7000  49667 34
726510  -96.7540   43.5780  432.4000  49661 34
727530  -96.8120   46.9240  272.8000  49477 34
714420  -97.5500   51.0830  253.0000  47312 34
713560  -96.0000   64.3170   51.0000  49026 34
722310  -90.2780   29.9980   -1.0000  49649 34
722480  -93.8240   32.4470   69.6000  49670 34
724460  -94.7310   39.2970  307.4000  49653 34
726580  -93.2310   44.8850  254.5000  49663 34
727450  -92.1870   46.8440  433.4000  49637 34
766440  -89.6580   20.9370   11.6000  47741 24
722280  -86.7450   33.5650  187.7000  49652 34
724380  -86.2820   39.7250  241.3000  49667 34
725330  -85.2060   40.9720  243.0000  49670 34
727440  -88.4810   47.1660  323.9000  48380 34
716971  -87.9300   52.2000  254.0000  46990 34
844010  -80.6160   -5.2060   35.4000  40992 30
722015  -81.6830   24.5830    1.8000  49609 34
722020  -80.3170   25.7880    1.4000  49663 34
722060  -81.6940   30.4950    7.2000  49671 34
724280  -82.8770   39.9910  246.8000  49666 34
725200  -80.2140   40.4850  341.0000  49670 34
726390  -83.5650   45.0720  208.3000  49468 34
718360  -80.6000   51.2830    9.1000  47744 34
710810  -81.2440   68.7760    8.2000  47374 34
846910  -76.2200  -13.7450   11.9000  48772 34
844520  -79.8280   -6.7870   29.6000  44975 30
787920  -79.3830    9.0710   41.1000  46196 34
783970  -76.7880   17.9360    3.0000  47409 34
780730  -77.4660   25.0390    4.9000  46677 34
723011  -77.9000   34.2680   11.6000  49622 34
724010  -77.3230   37.5120   50.7000  49666 34
725170  -75.4480   40.6500  117.4000  49516 34
717255  -78.8360   48.2060  301.1000  48784 34
710950  -77.9670   72.6830   55.2000  48904 34
859340  -70.8550  -53.0030   42.4000  48500 34
857990  -73.0940  -41.4390   89.6000  48803 34
856820  -73.0630  -36.7730    7.9000  49003 34
855740  -70.7860  -33.3930  474.0000  49225 34
854880  -71.2000  -29.9160  146.6000  47884 34
854420  -70.4450  -23.4440  138.7000  48640 34
854060  -70.3390  -18.3490   50.9000  48509 30
846860  -71.9390  -13.5360 3310.1001  46972 30
845150  -74.5740   -8.3780  156.4000  43775 30
